Feature,Duration,SHAP_value,Normalized_Importance,Sum_Normalized_Importance,Type
Electronic Box Temperature,10,0.10535753,0.10535752610177154,1.0,IBS_N
Solar Wind Analyser temperature,10,0.041284725,0.041284723472465236,1.0,IBS_N
Out Board Sensor Temperature,10,0.06714691,0.06714690751556443,1.0,IBS_N
In Board Sensor Temperature,10,0.121937744,0.12193773948830365,1.0,IBS_N
Out Board Sensor minus In Board Sensor Temp.,10,0.16683674,0.16683673382704087,1.0,IBS_N
Heater Dutycycle,10,0.22864619,0.22864618154009128,1.0,IBS_N
Search Coil Magnetometer's Temperature,10,0.039194684,0.03919468254979675,1.0,IBS_N
Solar Array's Angle,10,0.039488114,0.039488112538939836,1.0,IBS_N
High Gain Antenna Azimuth,10,0.06361535,0.06361534764623214,1.0,IBS_N
High Gain Antenna elevation,10,0.12649205,0.12649204531979433,1.0,IBS_N
Radial Distance from Sun,20,0.049062744,0.049062744637815674,1.0,IBS_N
Electronic Box Temperature,20,0.12829764,0.12829764166786933,1.0,IBS_N
Out Board Sensor Temperature,20,0.044262465,0.04426246557541205,1.0,IBS_N
In Board Sensor Temperature,20,0.17092252,0.17092252222199278,1.0,IBS_N
Out Board Sensor minus In Board Sensor Temp.,20,0.12383382,0.12383382160983968,1.0,IBS_N
Heater Dutycycle,20,0.17604204,0.17604204228854656,1.0,IBS_N
Search Coil Magnetometer's Temperature,20,0.04959246,0.049592460644701984,1.0,IBS_N
Solar Array's Angle,20,0.045953978,0.04595397859740172,1.0,IBS_N
High Gain Antenna Azimuth,20,0.07584261,0.07584261098595395,1.0,IBS_N
High Gain Antenna elevation,20,0.13618971,0.13618971177046624,1.0,IBS_N
Radial Distance from Sun,30,0.057965107,0.05796511210092987,1.0,IBS_N
Electronic Box Temperature,30,0.14498751,0.14498752275890203,1.0,IBS_N
Out Board Sensor Temperature,30,0.037632205,0.03763220831163434,1.0,IBS_N
In Board Sensor Temperature,30,0.15209427,0.15209428338429695,1.0,IBS_N
Out Board Sensor minus In Board Sensor Temp.,30,0.16055912,0.1605591341292038,1.0,IBS_N
Heater Dutycycle,30,0.14820673,0.14820674304219342,1.0,IBS_N
Search Coil Magnetometer's Temperature,30,0.05022954,0.05022954442019992,1.0,IBS_N
Solar Array's Angle,30,0.04017438,0.040174383535345755,1.0,IBS_N
High Gain Antenna Azimuth,30,0.08787578,0.08787578773306932,1.0,IBS_N
High Gain Antenna elevation,30,0.12027527,0.12027528058422471,1.0,IBS_N
Radial Distance from Sun,40,0.059209667,0.059209668302612706,1.0,IBS_N
