Feature,Duration,SHAP_value,Normalized_Importance,Sum_Normalized_Importance,Type
Electronic Box Temperature,10,0.049327765,0.1751460020627261,0.9999999999999999,IBS_N
Out Board Sensor Temperature,10,0.08278258,0.2939325940966064,0.9999999999999999,IBS_N
In Board Sensor Temperature,10,0.0591769,0.21011690777933553,0.9999999999999999,IBS_N
time_since_T_high,10,0.040361114,0.1433084948385138,0.9999999999999999,IBS_N
dutycycle,10,0.008660159,0.030749259085173147,0.9999999999999999,IBS_N
Search Coil Magnetometer Temperature,10,0.029228237,0.10377946087546937,0.9999999999999999,IBS_N
High Gain Antenna elevation,10,0.012101218,0.042967281262175534,0.9999999999999999,IBS_N
Electronic Box Temperature,20,0.0868238,0.3248387514816425,1.0,IBS_N
time_since_T_high,20,0.048872888,0.18285087636364852,1.0,IBS_N
dutycycle,20,0.065849535,0.24636655773010072,1.0,IBS_N
Search Coil Magnetometer Temperature,20,0.031996585,0.11971061763106716,1.0,IBS_N
Solar Array Angle,20,0.033739958,0.1262331967935411,1.0,IBS_N
Electronic Box Temperature,30,0.10454114,0.3012978891906466,1.0000000000000002,IBS_N
In Board Sensor Temperature,30,0.089549564,0.25809068670135715,1.0000000000000002,IBS_N
time_since_T_high,30,0.061178382,0.1763221384490264,1.0000000000000002,IBS_N
dutycycle,30,0.019258937,0.05550615830433496,1.0000000000000002,IBS_N
Search Coil Magnetometer Temperature,30,0.05317024,0.15324188238008582,1.0000000000000002,IBS_N
High Gain Antenna elevation,30,0.019271111,0.055541244974549264,1.0000000000000002,IBS_N
Electronic Box Temperature,40,0.11626725,0.32107470462258014,0.9999999999999999,IBS_N
In Board Sensor Temperature,40,0.10236799,0.2826915761064035,0.9999999999999999,IBS_N
time_since_T_high,40,0.078763664,0.21750768297858725,0.9999999999999999,IBS_N
Search Coil Magnetometer Temperature,40,0.04899172,0.13529176984879365,0.9999999999999999,IBS_N
High Gain Antenna elevation,40,0.015728373,0.04343426644363537,0.9999999999999999,IBS_N
Radial Distance from Sun,50,0.045636218,0.10891573878510596,1.0,IBS_N
Electronic Box Temperature,50,0.147411,0.3518121937723072,1.0,IBS_N
In Board Sensor Temperature,50,0.089473866,0.21353899697274595,1.0,IBS_N
time_since_T_high,50,0.06815114,0.1626500198186271,1.0,IBS_N
Search Coil Magnetometer Temperature,50,0.036880422,0.08801909064498893,1.0,IBS_N
High Gain Antenna elevation,50,0.03145216,0.07506396000622484,1.0,IBS_N
Radial Distance from Sun,60,0.043555696,0.11396283880220714,1.0,IBS_N
Electronic Box Temperature,60,0.19822106,0.5186424918564643,1.0,IBS_N
time_since_T_high,60,0.076828524,0.2010207045256148,1.0,IBS_N
Search Coil Magnetometer Temperature,60,0.034965947,0.09148788671698688,1.0,IBS_N
High Gain Antenna elevation,60,0.028620867,0.07488607809872698,1.0,IBS_N
Electronic Box Temperature,70,0.1640474,0.4879541195570432,1.0,IBS_N
In Board Sensor Temperature,70,0.06738696,0.20044051131822682,1.0,IBS_N
time_since_T_high,70,0.06635554,0.19737258315847836,1.0,IBS_N
High Gain Antenna elevation,70,0.038404413,0.1142327859662516,1.0,IBS_N
Electronic Box Temperature,80,0.14205259,0.49048070783780245,1.0000000000000002,IBS_N
In Board Sensor Temperature,80,0.05279471,0.18229014149542438,1.0000000000000002,IBS_N
time_since_T_high,80,0.06274166,0.21663507724652353,1.0000000000000002,IBS_N
High Gain Antenna elevation,80,0.032030158,0.11059407342024986,1.0000000000000002,IBS_N
Electronic Box Temperature,90,0.13766341,0.5100152004179309,0.9999999999999999,IBS_N
In Board Sensor Temperature,90,0.04441309,0.16454155100131254,0.9999999999999999,IBS_N
time_since_T_high,90,0.05710424,0.21155970499578372,0.9999999999999999,IBS_N
High Gain Antenna elevation,90,0.03073947,0.11388354358497274,0.9999999999999999,IBS_N
Electronic Box Temperature,100,0.14282791,0.5275877639647512,0.9999999999999999,IBS_N
In Board Sensor Temperature,100,0.03870386,0.142967036024015,0.9999999999999999,IBS_N
time_since_T_high,100,0.058413737,0.215772763801242,0.9999999999999999,IBS_N
High Gain Antenna elevation,100,0.030773262,0.11367243620999176,0.9999999999999999,IBS_N
Electronic Box Temperature,110,0.14215864,0.530133211414456,1.0,IBS_N
In Board Sensor Temperature,110,0.039298166,0.14654939681667178,1.0,IBS_N
time_since_T_high,110,0.058429826,0.21789453880374685,1.0,IBS_N
High Gain Antenna elevation,110,0.028269818,0.1054228529651254,1.0,IBS_N
Electronic Box Temperature,120,0.13769083,0.570266400088646,1.0,IBS_N
time_since_T_high,120,0.06441544,0.2667858206601426,1.0,IBS_N
Search Coil Magnetometer Temperature,120,0.0117128035,0.04851026235291555,1.0,IBS_N
High Gain Antenna elevation,120,0.02763094,0.11443751689829582,1.0,IBS_N
Electronic Box Temperature,130,0.14501598,0.5427219574280419,1.0,IBS_N
In Board Sensor Temperature,130,0.032107,0.1201603705132506,1.0,IBS_N
time_since_T_high,130,0.05981237,0.2238476513058098,1.0,IBS_N
High Gain Antenna elevation,130,0.03026589,0.1132700207528977,1.0,IBS_N
Electronic Box Temperature,140,0.14059366,0.5683553937936155,1.0,IBS_N
time_since_T_high,140,0.062229108,0.2515636137701048,1.0,IBS_N
Search Coil Magnetometer Temperature,140,0.01339647,0.05415575625738996,1.0,IBS_N
High Gain Antenna elevation,140,0.031150034,0.12592523617888968,1.0,IBS_N
Radial Distance from Sun,150,0.03712218,0.14499385765220293,0.9999999999999999,IBS_N
