Feature,Duration,SHAP_value,Type
Radial Distance from Sun,20,0.06858096,IBS_N
Electronic Box Temperature,20,0.12506454,IBS_N
Out Board Sensor Temperature,20,0.057251737,IBS_N
In Board Sensor Temperature,20,0.24430126,IBS_N
Out Board Sensor minus In Board Sensor Temp.,20,0.028880514,IBS_N
Heater Dutycycle,20,0.07996062,IBS_N
Search Coil Magnetometer's Temperature,20,0.1722803,IBS_N
Solar Array's Angle,20,0.022828901,IBS_N
High Gain Antenna Azimuth,20,0.06314022,IBS_N
High Gain Antenna Elevation,20,0.13771091,IBS_N
Radial Distance from Sun,30,0.07733905,IBS_N
Electronic Box Temperature,30,0.2034213,IBS_N
Out Board Sensor Temperature,30,0.05903605,IBS_N
In Board Sensor Temperature,30,0.17186299,IBS_N
Out Board Sensor minus In Board Sensor Temp.,30,0.053879395,IBS_N
Heater Dutycycle,30,0.05165982,IBS_N
Search Coil Magnetometer's Temperature,30,0.17065793,IBS_N
Solar Array's Angle,30,0.029479954,IBS_N
High Gain Antenna Azimuth,30,0.093402095,IBS_N
High Gain Antenna Elevation,30,0.08926143,IBS_N
Radial Distance from Sun,40,0.068266675,IBS_N
Electronic Box Temperature,40,0.30955753,IBS_N
Out Board Sensor Temperature,40,0.07651314,IBS_N
In Board Sensor Temperature,40,0.032096297,IBS_N
Out Board Sensor minus In Board Sensor Temp.,40,0.06145745,IBS_N
Heater Dutycycle,40,0.031162212,IBS_N
Search Coil Magnetometer's Temperature,40,0.13645446,IBS_N
Solar Array's Angle,40,0.036945023,IBS_N
High Gain Antenna Azimuth,40,0.15377952,IBS_N
High Gain Antenna Elevation,40,0.09376766,IBS_N
Radial Distance from Sun,50,0.04688617,IBS_N
Electronic Box Temperature,50,0.3342828,IBS_N
Out Board Sensor Temperature,50,0.053947877,IBS_N
In Board Sensor Temperature,50,0.04130764,IBS_N
Out Board Sensor minus In Board Sensor Temp.,50,0.104217306,IBS_N
Heater Dutycycle,50,0.028777162,IBS_N
Search Coil Magnetometer's Temperature,50,0.12996107,IBS_N
High Gain Antenna Azimuth,50,0.16730493,IBS_N
High Gain Antenna Elevation,50,0.077941544,IBS_N
Radial Distance from Sun,60,0.041286696,IBS_N
Electronic Box Temperature,60,0.34453204,IBS_N
Out Board Sensor Temperature,60,0.03405505,IBS_N
In Board Sensor Temperature,60,0.03069843,IBS_N
Out Board Sensor minus In Board Sensor Temp.,60,0.18747218,IBS_N
Heater Dutycycle,60,0.04439675,IBS_N
Search Coil Magnetometer's Temperature,60,0.054280575,IBS_N
Solar Array's Angle,60,0.0054944837,IBS_N
High Gain Antenna Azimuth,60,0.17567432,IBS_N
High Gain Antenna Elevation,60,0.08210946,IBS_N
Radial Distance from Sun,70,0.051590066,IBS_N
Electronic Box Temperature,70,0.3545158,IBS_N
Out Board Sensor Temperature,70,0.018554367,IBS_N
In Board Sensor Temperature,70,0.020972403,IBS_N
Out Board Sensor minus In Board Sensor Temp.,70,0.19118723,IBS_N
Heater Dutycycle,70,0.016552553,IBS_N
Search Coil Magnetometer's Temperature,70,0.064733,IBS_N
